Entities,neg,pos,neu,Count,Category
Alexandra Alper,0,1,0,2,PERSON
Marta Nogueira,0,1,0,2,PERSON
Decio Oddone,0,0,1,2,PERSON
Brasilia,0,0,1,1,LOCATION
Ueslei Marcelino RÍO DE JANEIRO,1,0,0,1,PERSON
Río de Janeiro,0,0,1,1,LOCATION
BP Plc,0,0,1,1,ORGANIZATION
Royal Dutch Shell Plc,1,0,1,2,ORGANIZATION
Santos,0,0,1,1,PERSON
Sudamérica,0,1,0,1,LOCATION
Exxon Mobil Corp,0,0,1,1,ORGANIZATION
brasileño,0,0,1,1,LOCATION
ANP,0,0,1,1,ORGANIZATION
"Bakersfield, California",0,0,1,1,LOCATION
Lucy Nicholson,1,0,0,1,PERSON
Tso,0,0,2,2,PERSON
Edward” Sun,2,0,0,2,PERSON
U.S. Department of Justice,0,3,0,4,ORGANIZATION
Delaware County,0,2,0,2,LOCATION
"Upper Darby, Pennsylvania",0,0,2,2,LOCATION
Upper Darby Police Department,0,0,2,2,ORGANIZATION
Sun,0,0,2,2,LOCATION
Marlon Miller,2,0,0,2,PERSON
Philadelphia,0,0,2,2,LOCATION
Dan Whitcomb,0,0,2,2,PERSON
Mocatta,0,1,0,8,PERSON
Scotia,1,0,0,5,ORGANIZATION
Bank of Nova Scotia,1,0,0,4,ORGANIZATION
ScotiaMocatta,1,1,0,5,ORGANIZATION
Dieter Jentsch,0,1,0,3,PERSON
JPMorgan,0,0,1,3,ORGANIZATION
Peter Hobson,1,1,0,3,PERSON
Barclays,0,1,0,1,ORGANIZATION
Deutsche Bank,1,1,0,22,ORGANIZATION
Tim Dinneny,0,0,1,1,PERSON
Toronto-Dominion Bank,0,0,1,1,ORGANIZATION
ICBC,0,0,1,1,ORGANIZATION
Elvira Nabiullina,1,1,0,12,PERSON
Russian Central Bank,0,0,1,2,ORGANIZATION
"ST PETERSBURG, Russia",0,0,1,1,LOCATION
Maxim Shemetov,0,0,1,1,PERSON
Russian Foreign Minister,0,0,1,3,ORGANIZATION
MOSCOW,0,0,5,20,LOCATION
Sergei Lavrov,0,0,1,2,PERSON
Mozambique Jose Pacheco,0,0,1,1,LOCATION
Sergei Karpukhin,0,0,4,4,PERSON
Tom Balmforth,0,3,1,4,PERSON
Maria Kiselyova,0,2,1,3,PERSON
Ollie,0,0,1,11,PERSON
Dollar Tree Inc,0,0,1,7,ORGANIZATION
Five Below Inc ( FIVE.O,0,0,1,7,ORGANIZATION
Dollar General Corp,0,0,1,6,ORGANIZATION
Gary Bradshaw,0,1,0,5,PERSON
Big Lots Inc,1,0,0,2,ORGANIZATION
Anthony Chukumba,1,0,0,2,PERSON
Loop Capital,1,0,0,2,ORGANIZATION
"Pasadena, California",0,0,1,1,LOCATION
Mario Anzuoni,0,1,0,1,PERSON
Bargain Outlet Holdings Inc,0,0,1,1,ORGANIZATION
Aldi,0,0,1,1,ORGANIZATION
Lidl,0,0,1,1,ORGANIZATION
Chicago,0,0,1,1,LOCATION
"Westminster, Colorado",0,0,1,1,LOCATION
Rick Wilking,0,1,0,1,PERSON
Walmart Inc,0,0,1,1,ORGANIZATION
Target Corp ( TGT.N,1,0,0,1,ORGANIZATION
S&P Composite,1,0,0,1,ORGANIZATION
Multiline Retail,1,0,0,1,ORGANIZATION
U.S. East Coast,0,0,1,1,LOCATION
Hodges Capital Management,0,0,1,1,ORGANIZATION
Dallas,0,0,1,1,LOCATION
Hodges,0,0,1,1,ORGANIZATION
Arun Daniel,0,1,0,1,PERSON
JO Hambro Capital Management,0,0,1,1,ORGANIZATION
Mark Butler,0,0,1,1,PERSON
Alden Bentley,0,0,1,1,PERSON
Cynthia Osterman,0,0,4,4,PERSON
Jan Wolfe,1,0,0,1,PERSON
Gilead Sciences,1,0,0,1,ORGANIZATION
Memorial Sloan Kettering Cancer Center,1,0,0,1,ORGANIZATION
New York City,1,0,0,1,LOCATION
Patent Trial and Appeal Board,1,0,0,1,ORGANIZATION
Kite Pharma Inc,1,0,0,1,ORGANIZATION
Kettering,1,0,0,1,LOCATION
Westlaw,0,0,1,1,ORGANIZATION
Kim Yong,0,0,1,1,PERSON
Brendan McDermid,0,1,2,3,PERSON
Uber Technologies Inc,0,2,0,12,ORGANIZATION
Honolulu Star-Advertiser,0,2,0,6,ORGANIZATION
Honolulu,0,0,2,4,LOCATION
Brendan O'Brien,0,0,3,5,PERSON
Lyft Uber,0,0,2,4,ORGANIZATION
Taipei,0,2,2,6,LOCATION
Taiwan,2,0,3,40,LOCATION
Tyrone Siu,0,2,2,5,PERSON
Hawaii,2,2,0,4,LOCATION
Honolulu City Council,0,0,2,2,ORGANIZATION
Kirk Caldwell,2,0,0,2,PERSON
Department of Customer Service,2,0,0,2,ORGANIZATION
City,2,0,0,2,LOCATION
Tabatha Chow,2,0,0,2,PERSON
Milwaukee,0,0,3,3,LOCATION
Catherine Evans,0,0,4,4,PERSON
AMP Ltd,1,1,0,9,ORGANIZATION
New Zealand,0,0,2,7,LOCATION
S&P/ASX 200,0,0,1,2,ORGANIZATION
BHP Billiton,0,1,0,2,ORGANIZATION
Australia,2,1,2,10,LOCATION
Rio Tinto,0,1,0,1,ORGANIZATION
Federal Court,0,0,2,2,ORGANIZATION
Australian law,0,0,1,1,ORGANIZATION
Wesfarmers Ltd,1,0,0,1,ORGANIZATION
Stockland Corp,1,0,0,1,ORGANIZATION
Mirvac Group,1,0,0,1,ORGANIZATION
NZX 50 index,0,0,1,1,ORGANIZATION
A2 Milk Company,0,1,0,1,ORGANIZATION
Fletcher Building,0,1,0,1,LOCATION
Devika Syamnath,0,1,0,1,PERSON
Bengaluru,0,6,5,11,LOCATION
Jacqueline Wong,0,0,1,1,PERSON
FCCU,0,1,0,2,ORGANIZATION
"Convent, La.",1,0,0,1,LOCATION
"Convent, Louisiana",0,0,1,1,LOCATION
East Oil & Gas,0,0,1,1,ORGANIZATION
Manama,0,0,1,1,LOCATION
Bahrain,0,0,1,1,LOCATION
Hamad I Mohammed,0,0,1,1,PERSON
Erwin Seba,0,0,1,1,PERSON
Equinor,0,1,1,5,PERSON
Statoil,0,1,0,2,ORGANIZATION
Nerijus Adomaitis,0,1,0,2,ORGANIZATION
"Fornebu, Norway",0,0,1,1,LOCATION
Mark Potter,0,0,3,3,PERSON
Shanghai,1,0,2,9,LOCATION
Shanghai Composite Index,1,0,0,4,ORGANIZATION
CSI300,1,0,0,3,ORGANIZATION
H-shares,1,0,0,3,ORGANIZATION
Hong Kong,0,0,4,6,LOCATION
Guangzhou Jiacheng International Logistics,1,0,0,1,ORGANIZATION
Aier Eye Hospital,1,0,0,1,LOCATION
Commerce Ministry,0,0,1,1,ORGANIZATION
MSCI,4,0,1,5,ORGANIZATION
Nikkei index,1,0,0,1,ORGANIZATION
Anyang Iron & Steel Inc,0,0,1,1,ORGANIZATION
Ningbo Techmation Co Ltd,0,0,1,1,ORGANIZATION
Riyue Heavy Industry Co Ltd,0,0,1,1,ORGANIZATION
Guangzhou Jiacheng International Logistics Co Ltd,1,0,0,1,ORGANIZATION
Jason Furniture Hangzhou Co Ltd,0,0,1,1,ORGANIZATION
Wuxi Acryl Technology Co Ltd,0,0,1,1,ORGANIZATION
Shanghai Newsroom,0,0,1,1,ORGANIZATION
Vyas Mohan,0,0,2,2,PERSON
Allergan Plc,0,1,0,14,ORGANIZATION
Carl Icahn,0,1,0,9,PERSON
Brent Saunders,0,0,1,3,PERSON
FOX Business Network,0,0,1,1,ORGANIZATION
Neil Cavuto,0,0,1,1,PERSON
Forest Laboratories,0,0,1,1,ORGANIZATION
Amy Rose,0,1,0,1,PERSON
Bloomberg News,0,0,1,1,ORGANIZATION
Appaloosa LP,0,0,1,1,ORGANIZATION
Senator Investment Group LP,0,0,1,1,ORGANIZATION
Pfizer Inc,0,0,2,2,ORGANIZATION
generic drug,1,0,0,1,LOCATION
Teva Pharmaceuticals Inc,1,0,0,1,ORGANIZATION
Shire Plc,0,0,1,1,ORGANIZATION
ZELTIQ Aesthetics Inc,0,0,1,1,ORGANIZATION
Tobira Therapeutics,0,0,1,1,ORGANIZATION
Greg Roumeliotis,0,0,1,1,PERSON
Carl O'Donnell,0,0,1,1,PERSON
Richard Chang,0,0,3,3,PERSON
Monu Goyat,0,0,2,6,PERSON
Nitin Tomar,0,2,0,6,PERSON
MUMBAI,0,2,0,4,LOCATION
Indian Premier League,0,2,0,4,ORGANIZATION
Pro Kabaddi League,0,0,2,4,ORGANIZATION
Sunil Chhetri,0,0,2,4,PERSON
Sudipto Ganguly,0,2,0,3,PERSON
Twenty-First Century Fox,0,0,2,2,ORGANIZATION
Star India,0,0,2,2,ORGANIZATION
Mashal Sports,0,0,2,2,PERSON
Mahindra,0,0,2,2,ORGANIZATION
Anand Mahindra,0,0,2,2,PERSON
Patna Pirates,0,0,2,2,ORGANIZATION
Gujarat Fortunegiants,0,0,2,2,LOCATION
Haryana Steelers,0,0,2,2,ORGANIZATION
Bengaluru FC,0,2,0,2,LOCATION
Indian Super League,0,0,2,2,ORGANIZATION
South Asia,2,0,0,2,LOCATION
Guangzhou,0,0,2,2,LOCATION
Haryana,0,0,2,2,LOCATION
Fazel Atrachali,2,0,0,2,PERSON
U Mumba,0,2,0,2,PERSON
Anupam Goswami,0,0,2,2,PERSON
La Plata County,0,1,0,4,LOCATION
Megan Graham,1,0,0,3,PERSON
Colorado,1,0,1,6,LOCATION
"Colorado, New Mexico, Arizona",0,1,0,2,LOCATION
"Durango, Colorado",0,1,0,1,LOCATION
Durango,0,0,1,1,LOCATION
U.S. Highway 550,0,1,0,1,LOCATION
Cam Hooley,0,0,1,1,PERSON
San Juan National Forest,0,0,1,1,LOCATION
Durango Herald,0,0,1,1,ORGANIZATION
National Weather Service,0,0,1,1,ORGANIZATION
Four Corners,0,0,1,1,LOCATION
Utah,0,1,0,1,LOCATION
Ute Park,0,1,0,1,LOCATION
"Cimarron, New Mexico",1,0,0,1,LOCATION
Bernie Woodall,0,0,1,1,PERSON
"Fort Lauderdale, Florida",0,0,1,1,LOCATION
Jon Herskovitz,0,0,1,1,PERSON
"Austin, Texas",0,0,1,1,LOCATION
Lisa Shumaker,0,0,2,2,PERSON
H. Lundbeck,0,0,1,4,ORGANIZATION
Medicare,0,0,1,3,ORGANIZATION
Nate Raymond,0,1,2,4,PERSON
BOSTON,0,0,1,1,LOCATION
Jim Bourg,0,0,1,1,PERSON
Alzheimer,1,0,0,1,ORGANIZATION
Office,0,1,0,1,ORGANIZATION
Massachusetts,0,1,0,1,LOCATION
United Therapeutics Corp,1,0,0,1,ORGANIZATION
Jazz Pharmaceuticals Plc,1,0,0,1,ORGANIZATION
Chizu Nomiyama,0,0,2,2,PERSON
Catholic Health Initiatives,1,0,0,1,ORGANIZATION
Nicole B.,1,0,0,1,PERSON
"Island View, Washington",0,0,1,1,LOCATION
Westlaw Practitioner Insights,0,0,1,1,ORGANIZATION
Shanghai Electric Group Co Ltd,0,0,1,3,ORGANIZATION
HONG KONG,0,0,1,2,LOCATION
Poly Energy Holdings Ltd,0,0,1,1,ORGANIZATION
Jiangsu Zhongneng Polysilicon Technology Development Co Ltd,0,0,1,1,ORGANIZATION
Donny Kwok,0,0,1,1,PERSON
Stephen Coates,0,1,1,2,PERSON
JP Morgan,0,0,1,8,ORGANIZATION
Jamie McGeever,0,1,0,2,PERSON
Christian Sewing,1,0,0,2,PERSON
FX,1,0,1,5,ORGANIZATION
Coalition,0,0,1,2,ORGANIZATION
"Frankfurt, Germany",0,0,1,1,LOCATION
Kai Pfaffenbach,0,0,1,1,PERSON
Helen Thomas,0,0,1,1,PERSON
International Monetary Fund,0,1,1,4,ORGANIZATION
G10,0,0,1,1,ORGANIZATION
Citi,0,0,1,1,ORGANIZATION
Josef Ackermann,1,0,0,1,PERSON
Euromoney,0,0,1,1,ORGANIZATION
Goldman Sachs,0,0,1,1,ORGANIZATION
FIS Astec Analytics,0,0,1,1,ORGANIZATION
Jane Merriman,0,0,1,1,PERSON
National Telecommunications and Information Administration,0,0,1,3,ORGANIZATION
David Shepardson,1,0,1,4,PERSON
Federal Communications Commission,0,0,1,2,ORGANIZATION
Wi-Fi,0,1,0,1,ORGANIZATION
Times Square Subway station,0,0,1,1,LOCATION
David Redl,0,0,1,1,PERSON
U.S. Census Bureau,0,0,1,1,ORGANIZATION
Ajit Pai,0,1,0,1,PERSON
Bill Berkrot,0,1,0,1,PERSON
Kenji Fujimori,0,0,1,7,PERSON
Pedro Pablo Kuczynski,0,0,1,4,PERSON
Congreso peruano,0,1,0,2,ORGANIZATION
LIMA,0,0,1,2,LOCATION
Congreso,0,0,2,4,ORGANIZATION
Fuerza Popular,0,0,1,2,ORGANIZATION
Alberto Fujimori,0,0,1,1,PERSON
Keiko Fujimori,1,0,0,1,PERSON
Perú,0,0,2,2,LOCATION
Congreso unicameral,0,0,1,1,ORGANIZATION
Odebrecht,0,0,1,1,ORGANIZATION
Martín Vizcarra,0,0,1,1,PERSON
Marco Aquino,0,0,1,1,PERSON
J&J,0,0,1,1,ORGANIZATION
Fortive Corp,0,1,0,1,ORGANIZATION
Johnson & Johnson,0,2,0,2,ORGANIZATION
Ethicon Inc,0,1,0,1,ORGANIZATION
Tamara Mathias,1,0,1,2,PERSON
Anil D’Silva,0,0,1,1,PERSON
KYC,0,1,0,6,ORGANIZATION
William Hallatt,0,0,1,2,PERSON
Alun John,0,0,1,2,PERSON
Mark Austen,0,1,0,2,PERSON
Will Haslet,0,1,0,1,PERSON
Des Voeux Road Central,0,0,1,1,ORGANIZATION
Central district,0,0,1,1,LOCATION
Bobby Yip,0,0,1,1,PERSON
Commonwealth Bank of Australia,0,0,1,1,ORGANIZATION
US,1,0,0,1,LOCATION
Asia Securities Industry and Financial Markets Association,1,0,0,1,ORGANIZATION
Fintech,0,1,0,1,ORGANIZATION
Hong Kong Monetary Authority,0,0,1,1,ORGANIZATION
Monetary Authority of Singapore,0,0,1,1,ORGANIZATION
HSBC,1,0,0,1,ORGANIZATION
AML,1,0,0,1,ORGANIZATION
Herbert Smith Freehills,0,0,1,1,ORGANIZATION
Jennifer Hughes,0,0,1,1,PERSON
Edwina Gibbs,0,2,1,3,PERSON
Bernardo Diana,1,0,0,5,PERSON
Naples,1,0,0,3,LOCATION
Umberto Bacchi UmbertoBacchi,1,0,0,2,PERSON
Castelvolturno,1,0,0,2,LOCATION
Dimitri Russo,1,0,0,2,PERSON
Mafia,0,0,1,1,ORGANIZATION
north Africa,0,0,1,1,LOCATION
cabinet,4,0,1,6,ORGANIZATION
ILGA,0,0,1,1,ORGANIZATION
Francesco Rea,1,0,0,1,PERSON
Rome,0,0,1,1,LOCATION
Claire Cozens,0,1,0,1,PERSON
Lahcen Daoudi,2,0,0,13,PERSON
Danone,2,0,0,8,ORGANIZATION
Saad Eddine El Othmani,0,2,0,6,PERSON
PJD Islamist party,0,2,0,4,ORGANIZATION
Centrale,2,0,0,4,ORGANIZATION
RABAT,2,0,0,2,LOCATION
Afriquia,2,0,0,2,ORGANIZATION
Aziz Akhanouch,0,0,2,2,PERSON
Sidi Ali,0,0,2,2,PERSON
Ahmed Eljechtimi,0,0,2,2,PERSON
Ulf Laessing,0,0,2,2,PERSON
中国,1,0,4,18,LOCATION
米国,2,2,5,26,LOCATION
ベトナム,0,0,1,5,LOCATION
鋼輸出先,0,0,1,3,LOCATION
東南アジア,0,0,1,2,LOCATION
ロイター,0,5,12,36,ORGANIZATION
韓国,0,0,1,2,LOCATION
マニラ,0,1,0,1,LOCATION
北京,0,1,0,1,LOCATION
アフリカ,0,0,2,2,LOCATION
南米,0,0,1,1,LOCATION
米政府,0,0,2,4,ORGANIZATION
鋼輸,0,0,1,1,LOCATION
カナダ,0,0,2,7,LOCATION
メキシコ,0,0,2,3,LOCATION
欧州連合,0,1,1,2,LOCATION
ＥＵ,0,0,2,2,ORGANIZATION
グローバル,0,0,3,7,ORGANIZATION
米商務省,0,0,2,2,ORGANIZATION
英国,0,0,2,2,LOCATION
ＭＥＰＳインターナショナル,0,0,1,1,ORGANIZATION
クリス・ジャクソン,0,0,1,1,PERSON
ロシア,0,1,1,3,LOCATION
トルコ,0,0,2,9,LOCATION
日本,0,1,5,14,LOCATION
首脳会談,0,0,1,4,ORGANIZATION
欧州,0,1,4,7,LOCATION
チェティンカヤ中銀,0,0,1,1,ORGANIZATION
ロンドン,0,0,3,4,LOCATION
東京,2,1,10,16,LOCATION
イタリア,1,0,2,4,LOCATION
ニューヨーク,0,2,0,3,LOCATION
米長,3,0,0,3,PERSON
Ｇ７,0,0,4,10,ORGANIZATION
安倍,0,0,1,1,PERSON
北朝鮮,0,0,3,3,LOCATION
米,1,0,8,18,LOCATION
Sudan,2,0,2,24,LOCATION
KHARTOUM,0,0,4,7,LOCATION
Khalid Abdelaziz,1,3,0,4,PERSON
Amina Ismail,0,0,2,2,PERSON
Sandra Maler,0,1,2,3,PERSON
Libya,4,0,0,20,LOCATION
Vincent Cochetel,1,0,0,3,PERSON
Pierre Vimont,1,0,0,3,PERSON
Kieran Guilbert,1,0,0,2,PERSON
BRUSSELS,0,1,0,2,LOCATION
Bani Walid,2,0,0,7,PERSON
UNHCR,0,0,1,2,ORGANIZATION
Medecins Sans Frontieres,0,0,1,2,ORGANIZATION
Ismail Zitouny,0,0,1,1,PERSON
Central Mediterranean,0,1,0,1,LOCATION
Trust Conference,0,0,1,1,ORGANIZATION
European Parliament,0,1,0,1,ORGANIZATION
Inma Vazquez,0,0,1,1,PERSON
Austria,0,0,2,3,LOCATION
Matteo Salvini,0,0,1,1,PERSON
Belinda Goldsmith,0,1,0,1,PERSON
Ethiopia,0,0,1,18,LOCATION
NO COMMENT FROM ERITREA,0,0,1,12,LOCATION
Abiy Ahmed,0,0,1,9,PERSON
ADDIS ABABA,0,0,1,5,LOCATION
Asmara,0,0,1,5,LOCATION
Horn of Africa,1,0,0,2,LOCATION
Badme,1,0,0,2,LOCATION
Aaron Maasho,0,1,0,1,PERSON
Ambo,0,0,1,1,LOCATION
Oromiya,0,0,1,1,LOCATION
Tiksa Negeri,0,0,1,1,PERSON
Ahmed Soliman,1,0,0,1,PERSON
Chatham House,0,0,1,1,LOCATION
The Hague,0,1,0,1,LOCATION
foreign ministry,1,1,1,3,ORGANIZATION
Qatar,0,0,1,1,LOCATION
U.N. Security Council,1,0,0,1,ORGANIZATION
Somalia,0,1,0,1,LOCATION
Maggie Fick,0,0,1,1,PERSON
Tripoli,0,0,1,2,LOCATION
Sirte,1,0,0,2,LOCATION
TUNIS,0,1,0,1,LOCATION
U.S. Africa Command,0,0,1,1,ORGANIZATION
Abd al-Aati Ashtaiwy,1,0,0,1,PERSON
Syria,1,0,4,7,LOCATION
Aidan Lewis,0,0,1,1,PERSON
Ayman al-Warfalli,0,0,1,1,PERSON
Pyongyang,1,0,3,15,LOCATION
Omar Al Bashir,0,0,1,1,PERSON
Palace,0,0,1,1,LOCATION
Mohamed Nureldin Abdallah,0,0,1,1,PERSON
Non-Proliferation Treaty,0,1,0,1,LOCATION
John Davison,0,1,1,2,PERSON
Cairo,0,0,3,3,LOCATION
Andrew Roche,0,0,5,5,PERSON
Tanzania,1,0,0,4,LOCATION
Fumbuka Ng'wanakilala,0,1,0,2,PERSON
Van Dai,0,0,1,2,PERSON
Sherif El Barbary,0,0,1,2,LOCATION
Zantel,1,0,0,2,ORGANIZATION
Tanzania Communications Regulatory Authority,0,0,1,2,ORGANIZATION
Halotel,0,0,1,1,ORGANIZATION
Vietnam,1,0,1,6,LOCATION
Viettel,0,0,1,1,ORGANIZATION
Dar es Salaam,1,0,0,1,LOCATION
Millicom International Cellular,0,0,1,1,ORGANIZATION
Etisalat,0,1,0,1,ORGANIZATION
SMS,0,0,1,1,ORGANIZATION
John Magufuli,0,0,1,1,PERSON
Magufuli,1,0,0,1,ORGANIZATION
Vodacom Tanzania,0,0,1,1,ORGANIZATION
Vodacom,0,0,1,1,ORGANIZATION
Tigo Tanzania,0,0,1,1,ORGANIZATION
Sweden,0,1,0,1,LOCATION
Millicom,0,1,0,1,ORGANIZATION
Airtel Tanzania,1,0,0,1,ORGANIZATION
Elias Biryabarema,0,1,1,2,PERSON
Nelson Mandela,0,0,1,1,PERSON
Siphiwe Sibeko,0,0,1,1,PERSON
Statistics South Africa,2,0,0,2,LOCATION
Olivia Kumwenda-Mtambo,0,2,1,3,PERSON
Jason Neely,0,0,2,2,PERSON
Nairobi,0,0,1,1,LOCATION
National Youth Service,0,0,1,1,ORGANIZATION
Kenyatta’s,0,0,1,1,LOCATION
Nzioka Waita,0,0,1,1,PERSON
Humphrey Malalo,0,0,1,1,PERSON
Vladimir Putin,0,2,1,64,PERSON
Russian President,0,1,1,6,ORGANIZATION
Sergei Medvedev,1,0,0,3,PERSON
Ukraine,2,0,2,9,LOCATION
Maria Zakharova,0,0,1,2,PERSON
Boris Johnson,0,0,1,2,PERSON
FIFA,0,1,1,5,ORGANIZATION
Kremlin,0,1,1,5,ORGANIZATION
Bashar al-Assad,0,1,3,8,PERSON
Andrei Kolesnikov,0,1,0,2,PERSON
Andrew Osborn,2,0,0,3,PERSON
Spartak,0,0,1,1,PERSON
Otkrytie Arena,0,0,1,1,PERSON
Higher School of Economics,0,0,1,1,ORGANIZATION
Russian government,0,0,1,1,ORGANIZATION
Foreign Ministry,1,0,0,1,ORGANIZATION
Adolf Hitler,0,0,1,1,PERSON
Nazi Germany,0,0,1,1,LOCATION
Dmitry Bykov,1,0,0,1,PERSON
Sobesednik,1,0,0,1,ORGANIZATION
Big Red Machine,0,1,0,1,ORGANIZATION
Sergei Sobyanin,0,0,1,1,PERSON
Luzhniki Stadium,0,0,1,1,PERSON
Sputnik,1,0,1,2,ORGANIZATION
Alexei Druzhinin,0,0,1,1,PERSON
Netherlands,1,0,0,1,LOCATION
Carnegie Moscow Centre,0,1,0,1,ORGANIZATION
Soviet Union,0,1,0,1,LOCATION
Stepan Goncharov,0,0,1,1,PERSON
Levada Centre,1,0,0,1,ORGANIZATION
Black Sea peninsula,0,0,1,1,LOCATION
Giles Elgood,0,0,1,1,PERSON
Tsai Ing-wen,1,1,0,11,PERSON
Han Kuang,0,2,0,6,PERSON
People's Liberation Army,0,1,0,4,ORGANIZATION
Taichung,0,0,2,4,LOCATION
Jess Macy Yu,0,0,2,4,PERSON
Chen Chung-chi,0,2,0,4,PERSON
Ching Chuan Kang Air Base,0,1,0,2,LOCATION
Swaziland,0,2,0,2,LOCATION
So long,0,0,2,2,ORGANIZATION
Mswati III,1,0,1,2,PERSON
Taiwan Defence Ministry,0,0,2,2,ORGANIZATION
Burkina Faso,2,0,0,2,LOCATION
Dominican Republic,0,0,2,2,LOCATION
The Pentagon,0,0,2,2,LOCATION
South China Sea,1,0,2,3,LOCATION
Pacific,0,0,3,3,LOCATION
Anne Marie Roantree,0,0,2,2,PERSON
Darren Schuettler,0,2,0,2,PERSON
Reserve Bank,0,0,1,1,ORGANIZATION
Egypt,0,0,1,1,LOCATION
Amr Abdallah Dalsh,1,0,0,1,PERSON
David Goodman,0,1,1,2,PERSON
Syrian government,3,0,0,21,LOCATION
BAGHDAD,4,0,0,5,LOCATION
Hajin,0,0,2,2,LOCATION
Haider al-Abadi,0,0,4,8,PERSON
Ahmed Aboulenein,0,4,1,6,PERSON
Michael Georgy,0,0,3,3,PERSON
